File Name,WAV Path,Transcription,Sentiment,Named Entities,Keywords,Summary
call_71.mp3,/kaggle/working/call_71.wav, This recording was prepared by 911dispatch.com This recording was prepared by 911dispatch.com This recording was prepared by 911dispatch.com This recording was prepared by 911dispatch.com,Negative,911dispatch.com (CARDINAL)," this recording, 911dispatch.com, this recording", This recording was prepared by 911dispatch.com This recording was prepared by 911dispatch.com This recording was prepared by 911dispatch.com This recording was prepared by 911dispatch.com
call_456.mp3,/kaggle/working/call_456.wav," I'm calling the PENF-A911. What is the location of your emergency? 1109 Alameda. There's been a shooting and I just shot a man attacking me. Okay. Is he injured? He's here and he's down and he's hurt bad. 1109 West Alameda? 1109 East Alameda. What's your name, sir? My name is Edwin Waters. What's the telephone number you're calling me from, Edwin? I'm sorry, I can't hear you. What's the telephone number you're calling me from, sir? 970-209-6887. Please hurry. Do you still have the gun in your hand? I do not have it set on the table right here where I am. Please come quick. I understand, sir. We're going to get him out there, okay? Yes, please. Okay, and can you verify the address for me one more time? 1109 East Alameda. Okay. Are you with the patient now? I'm sorry, what? Are you with the patient now? His brother is. I'm about 15 feet away. Okay. How old is the patient? I'm going to guess 45. Is he awake? I don't know. His brother's talking to him. Is he breathing? I don't know. I've never been in this kind of trouble before. I understand. I just need to ask these questions, okay? Okay. Stay calm, okay? I am.",Positive,"PENF (ORG), 1109 (CARDINAL), 1109 (DATE), East Alameda (LOC), Edwin Waters (PERSON), Edwin (PERSON), 970 (CARDINAL), one (CARDINAL), 1109 (DATE), East Alameda (LOC), about 15 feet (QUANTITY), 45 (CARDINAL)","i, a man, this kind, his brother, my name, you, the table, we, sir, the gun, 1109 alameda, your emergency, the telephone number, these questions, the penf-a911, edwin waters, him, what, he, the address, your hand, me, the patient, ?, trouble, it, 1109 east alameda, breathing, the location, a shooting, edwin, west alameda, your name"," I'm calling the PENF-A911. What is the location of your emergency? 1109 Alameda. There's been a shooting and I just shot a man attacking me. Okay. Is he injured? He's here and he's down and he's hurt bad. 1109 West Alameda? 1109 East Alameda. What's your name, sir? My name is Edwin Waters. What's t..."
call_347.mp3,/kaggle/working/call_347.wav," 911, what is the address of your emergency? 1500 E 2nd Street, Suite 300. 1500 E 2nd Street, Suite 300, and what's the problem now? Correct, the third floor. We believe that there is a shooter. We have heard at least two shots. What is the name of the business? Urology Nevada. I'm sorry? Urology Nevada, it's the name of the business. Do you know if anybody's been hurt? Do not know. We are locked in the bathroom right outside the elevator. Have you heard anything other than the shots? No, we have only heard two shots. Two suspected shots, I should say. Okay, and you're in the bathroom on the third floor? We are on the bathroom on the third floor, just by the elevators. And you haven't seen anyone, right? I personally have not seen anybody with a gun, no. Okay, how many of you are locked in the bathroom? One, two, three, four. There are ten in the bathroom I am in. And there are probably about ten others in the men's room that are across the hall from where we are at. Okay, so you're in the women's room? Yes, I have two people in here with me who said that they did actually see the person with the gun. Okay, did they say whether they were white, black, Hispanic, Asian? Yes. We now have an 11th. Do you know the description of the person? Just a white guy. Okay, can I talk to her, please? Hold on. I just saw him real briefly. I only saw one person with a gun. Okay, and was he white, black, Hispanic, Asian? He was white. About how old? Middle aged.",Positive,"911 (CARDINAL), 1500 (CARDINAL), Suite (ORG), 300 (CARDINAL), 1500 (CARDINAL), Suite (ORG), 300 (CARDINAL), third (ORDINAL), at least two (CARDINAL), Nevada (GPE), Nevada (GPE), two (CARDINAL), Two (CARDINAL), third (ORDINAL), third (ORDINAL), One (CARDINAL), two (CARDINAL), three (CARDINAL), four (CARDINAL), ten (CARDINAL), about ten (CARDINAL), two (CARDINAL), Hispanic (NORP), Asian (NORP), one (CARDINAL), Hispanic (NORP), Asian (NORP)","i, you, the name, the hall, the person, suite, we, one person, anybody, the men's room, the gun, they, a shooter, your emergency, the women's room, the problem, the description, about ten others, the bathroom, the business, two people, him, what, the shots, he, the address, at least two shots, me, just a white guy, who, her, anyone, that, an 11th, 1500 e 2nd street, two suspected shots, two shots, it, the elevators, the elevator, urology nevada, a gun, the third floor, anything"," 911, what is the address of your emergency? 1500 E 2nd Street, Suite 300. 1500 E 2nd Street, Suite 300, and what's the problem now? Correct, the third floor. We believe that there is a shooter. We have heard at least two shots. What is the name of the business? Urology Nevada. I'm sorry? Urology Ne..."
call_664.mp3,/kaggle/working/call_664.wav," I need an ambulance. What's your address? 168 South Shore Drive. What's going on there? I accidentally shot my husband. You accidentally shot your husband? Yes. Okay, is he breathing? I don't think so. I don't know. Okay. 168 South Shore Drive. Yeah, 168 South Shore Drive. Is he conscious? I need help, please. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I need help, please. Is he conscious, ma'am? I don't know. I'm too nervous and scared. Okay, where's he at right now? On the floor in the kitchen. On the floor in the kitchen? Where'd you shoot him at? In the kitchen. Where at on his body? In the head. In the head? I shot him in the head. Yes. Okay, where's the gun at? I have it here. Okay. 151 South Shore Drive. Is there any there, is anybody there with you? My children. Okay, I'm going to call the ambulance. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. Is there any there, is anybody there with you? My children, my two of them is here with me. Okay. Can you get them out of the room? They said get out of the room. Can you tell if he's breathing or anything right now? I don't think so. I don't know. I need somebody here right immediately. I've got people coming right now, but I didn't know what happened. How did it happen? We was having a scuffle. I don't know. I just got a call. I'm going to go get a hand. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. 168 South Shore Drive. Okay. Okay, so he's down in the kitchen, is that correct? Yes. Okay. Where's the, where's your two kids at? In the bedroom. Okay, where are you at? I'm in the living room. And where's the gun? I've got it right here, Wesley. Okay, I need you to put that down somewhere. It is. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.",Positive,"168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 151 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), two (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), 168 (CARDINAL), two (CARDINAL), Wesley (PERSON)","i, his body, you, we, your two kids, anybody, the gun, they, a hand, 151 south shore drive, your husband, , 168 south shore drive, your address, the kitchen, my children, people, a call, him, the room, the ambulance, what, he, them, my husband, me, help, somebody, a scuffle, an ambulance, the living room, that, 168 south shore drive,  i, it, the head, the bedroom, any, the floor"," I need an ambulance. What's your address? 168 South Shore Drive. What's going on there? I accidentally shot my husband. You accidentally shot your husband? Yes. Okay, is he breathing? I don't think so. I don't know. Okay. 168 South Shore Drive. Yeah, 168 South Shore Drive. Is he conscious? I need h..."
call_208.mp3,/kaggle/working/call_208.wav," Here for mention now one. What's the address of the emergency? Um, I met one word place. Okay, repeat that address. W E s T B a l e place is this a house on apartment house? What's your name? What's the phone number? You're calling me from? I'm calling you from myself, which is coming. Exactly. What happened? Something is going on. Do you know the house number? No, he has been screaming for about 30 minutes on the front porch and then he goes in and he's bringing that he's God. I mean, I don't I mean, like delusional kind of stuff. I mean, he stood like into this monologue. I'm just fun. This is not typical at all. I mean, this isn't, you know, this is like a grown man. I don't think so. I would not think so. I mean, I could be wrong. I don't know. I just know it's not scary because he comes out and he screams. And at one point I was kind of looking for my window. I thought he was talking to someone. He dropped his pants out there and he was screaming that he's God. And then he slammed the door and then he goes in and he starts ranting. And this has been going on for half an hour. So I think it's back out on the porch. And I mean, it's it's a little scary. Okay, you don't know if he goes back. I have no idea. I don't know. Um, late thirties, early forties.",Negative,"one (CARDINAL), about 30 minutes (TIME), one (CARDINAL), half an hour (TIME), late thirties (DATE)","i, um, late thirties, the door, early forties, about 30 minutes, the front porch, you, his pants, this monologue, the house number, apartment house, stuff, this, half an hour, myself, the porch, one point, mention, no idea, what, he, a grown man, the address, me, someone, one word place, a house, it, that address, something, which, the emergency, the phone number, my window, w e s t b a l e place, delusional kind, your name, god"," Here for mention now one. What's the address of the emergency? Um, I met one word place. Okay, repeat that address. W E s T B a l e place is this a house on apartment house? What's your name? What's the phone number? You're calling me from? I'm calling you from myself, which is coming. Exactly. Wha..."
call_420.mp3,/kaggle/working/call_420.wav," 911 what's the address of your emergency? 911 331. 2133. Ma'am, ma'am, I need you to take a deep breath and give me that address again. Okay. I'm sorry, I'm sorry. Okay. 2133. I don't know what to do. Honey, honey, listen, listen to me. Take a breath. I got 2133 west and what? 1173. One more time. I'm sorry, I'm so sorry. What's the... 1175. Stay there. 1175 north? No, south. South. In what city? In Syracuse. Okay. What's going on there? We just came into my sister's house and she's on the floor. The girl's in there. Okay, she's on the floor. The girl's in there. Okay, ma'am, ma'am, listen to me. Listen to me. I need you to take a breath. Okay. Okay. And we're going to help her, okay? How old is your sister? She's 32. 32? Listen to me. Listen to me. Is she awake? No. Okay, is she breathing? What? Ma'am? I'm sorry, what? Is she breathing? No. No? I'm giving you a rub on the guy who went into the room. Okay, there's another man there? Hi, hello? Okay, so can you tell me what's going on, please? Yeah, we went to check on her sister. My brother and her had just separated. He moved out today. Okay. We went to check on her. Her door was locked, no lights on. I opened up the bedroom door. I pushed open the lock, unlocked the bedroom door. She's on the floor.",Positive,"911 (CARDINAL), 911 331 (CARDINAL), 2133 (DATE), 2133 (DATE), Honey (ORG), 2133 (CARDINAL), 1173 (DATE), One (CARDINAL), the... 1175 (DATE), 1175 (CARDINAL), Syracuse (GPE), 32 (DATE), 32 (DATE), today (DATE)","i, syracuse, the girl, you, your sister, we, 1175 north, the lock, honey, the guy, another man, she, 2133 west, your emergency, her sister, no, the room, a rub, what, a breath, he, the address, me, my sister's house, her, who, a deep breath, ma'am, no lights, the bedroom door, that address, what city, my brother, her door, the floor, one more time"," 911 what's the address of your emergency? 911 331. 2133. Ma'am, ma'am, I need you to take a deep breath and give me that address again. Okay. I'm sorry, I'm sorry. Okay. 2133. I don't know what to do. Honey, honey, listen, listen to me. Take a breath. I got 2133 west and what? 1173. One more time. ..."
call_589.mp3,/kaggle/working/call_589.wav," Okay, and when you say he's down, what do you mean? She says he's cold and he's not breathing. She says she's been trying to give him CPR. Okay. Is there any way you can get a phone, a cell phone or something over there to him? Yeah, well, I'll tell you what, I'm giving it to her right here. Here she is right here. About a year ago, they texted police and stopped him in the middle of the night going up toward Raleigh. Hello, ma'am? Yes, ma'am. Okay. Can you get in there with him? I've been there trying to do mouth-to-mouth, but he's cold and stiff. Really cold and stiff. And I've been gone all day hunting for him because he's got a lot of mental problems and he likes to go down to Durham and Raleigh. And he was picked up, well, wasn't picked up, but he was stopped by the Apex police about a year ago because it was like four in the morning and he was out there. Okay, so you're going to go to the gang area and get killed because he doesn't want to die of his lymphoma. Okay. Do you have a cell phone at all, ma'am? Yeah, but it died. It died? Okay. What's your name? Jolene Harvey. Jolene Harvey? Harvey. H-A-R-D-Y. Okay. All right. At last you were with him. I'm just going to ask you some questions. How old is he? He's 60 years old. Okay. Can you please sit down before I call down? Okay. I have them on the way to you. I'm just going to talk to you while they're on the way. I'm at my neighbor's house right now because I tried all that time to resuscitate him and he's so cold and I couldn't stand it anymore. So I came over here because it finally dawned on me I wasn't getting anywhere with it. And he just got colder. So I've been hunting for him all night and all day. I haven't had any sleep. I've been doing these things for six years since he got...",Positive,"About a year ago (DATE), Raleigh (ORG), all day (DATE), Durham (GPE), Raleigh (PERSON), Apex (GPE), about a year ago (DATE), four in the morning (TIME), Jolene Harvey (PERSON), Jolene Harvey (PERSON), Harvey (PERSON), 60 years old (DATE), all night (TIME), six years (DATE)","i, a lot, the gang area, six years, the way, mental problems, h-a-r-d-y. okay, you, the apex police, police, raleigh, the morning, a cell phone, she, they, any way, all that time, cpr, any sleep, him, what, he, them, some questions, my neighbor's house, me, a phone, her, the night, it, harvey, durham, jolene harvey, something, hello, the middle, these things, mouth, his lymphoma, your name"," Okay, and when you say he's down, what do you mean? She says he's cold and he's not breathing. She says she's been trying to give him CPR. Okay. Is there any way you can get a phone, a cell phone or something over there to him? Yeah, well, I'll tell you what, I'm giving it to her right here. Here s..."
call_93.mp3,/kaggle/working/call_93.wav," 911 recorded line, what is your emergency, police, fire or medical? Anvil, please! What do you need? You need the police? No, I need the police, I need the ambulance, my girlfriend shot me! Your girlfriend shot you? No, she's choking to death! What's the address? 52-10-5-1 What is she choking on? She's throwing it in the mouth! She what? Open up the mouth, open up the teeth! Open up the teeth, teeth! Do you know the Heimlich? What is your name? That's the person in her mouth, she won't respond! What's the phone number? 539-2443 Is she breathing at all? No, she's not breathing! She's got a socket behind her! Alright, the Heimlich is on its way. Jake, Jake! How old is she? She's 39 years old! Jake! She won't open her mouth! She won't open her mouth? She's sneezing! She's sneezing? She's not breathing! Okay, she's not breathing? She's not breathing! Okay, she's not breathing, okay. Alright, what was she choking on? I can't hear you because you're on a speaker phone. She's peeing her pants out! Okay. What was she choking on? I don't know! Okay, you need to calm down, okay? The Heimlich is on its way. Okay. Okay. Where is she? In the bathroom? Jake. No, she's on the kitchen floor! She's on the kitchen floor? Yes. Okay. Does she take any medications already?",Positive,"911 (CARDINAL), 52-10-5-1 (CARDINAL), Heimlich (GPE), 539-2443 (CARDINAL), Heimlich (GPE), 39 years old (DATE), Jake (PERSON), Heimlich (GPE)","i, jake, the teeth, you, the person, police, the heimlich, she, your emergency, the police, its way, the bathroom, her pants, a speaker phone, the ambulance, what, the address, my girlfriend, teeth, me, death, her, that, any medications, fire, a socket, it, the kitchen floor, her mouth, the phone number, the mouth, your name, your girlfriend"," 911 recorded line, what is your emergency, police, fire or medical? Anvil, please! What do you need? You need the police? No, I need the police, I need the ambulance, my girlfriend shot me! Your girlfriend shot you? No, she's choking to death! What's the address? 52-10-5-1 What is she choking on? S..."
call_627.mp3,/kaggle/working/call_627.wav," I-11, where is your emergency? Um, 13850, Angel Valley Road. Okay, what's the problem? Two people aren't breathing. Two people aren't breathing? Yes. Okay, is this a result of a shooting or something? No, it was a sweat lodge. A sweat lodge? Yes. Okay, all right. Okay. They're both unconscious, no pulse and no breathing. All right, are you dead by yourself? No, there's a lot of people here. Okay, all right, we'll get them out of the sweat lodge for one time. We are, we are. Okay. There's a nurse there. All right, oh, there is a nurse? There's a nurse, she told me to call an ambulance. Okay. About how old are you? Probably in the 50s. In her 50s? Okay. All right. One's a girl. One male, one female? Yeah. Okay, all right. Okay. All right, and you're sure they're not breathing? I'm positive. Okay, somebody there, the nurse, she said there was a nurse there, and she said she knows how to do CPR. Yeah, there's an emergency first responder trying to do CPR. Okay, so CPR is in progress? Yes. Okay, all right. All right. Okay. It's the Angel Valley Spiritual Retreat Center. Okay. There's a gate. Full response. There's a gate. Yes. You had none of the code? It's Pound, 4321. 4321? Uh-huh. Okay. All right, Pound, 4321, what's your phone number? I'm going to leave here though as soon as I leave. That's fine. It's 649-0578. Okay, all right. Okay, if there's any change, you call me back on 911. In the meantime, I want you to go back to where they are and make sure that the people that know how to do CPR are doing it. They were there. I made sure they were there before I left. Okay, how far are you from where the sweat lodge is?",Positive,"I-11 (PRODUCT), 13850 (DATE), Angel Valley Road (FAC), Two (CARDINAL), Two (CARDINAL), one (CARDINAL), 50s (DATE), 50s (DATE), One (CARDINAL), CPR (ORG), first (ORDINAL), CPR (ORG), CPR (ORG), the Angel Valley Spiritual Retreat Center (LOC), 4321 (DATE), 4321 (DATE), Pound (PERSON), 4321 (DATE), 649-0578 (DATE), 911 (CARDINAL), CPR (ORG)","i, a lot, you, we, a gate, your phone number, the meantime, the people, the code, she, one female, one time, they,  i-11, your emergency, this, the problem, a girl, people, her 50s, cpr, the angel valley spiritual retreat center, two people, full response, what, them, the 50s, me, an ambulance, pound, a result, progress, that, the sweat lodge, none, a nurse, a sweat lodge, it, any change, something, a shooting, one, yourself, an emergency first responder, one male"," I-11, where is your emergency? Um, 13850, Angel Valley Road. Okay, what's the problem? Two people aren't breathing. Two people aren't breathing? Yes. Okay, is this a result of a shooting or something? No, it was a sweat lodge. A sweat lodge? Yes. Okay, all right. Okay. They're both unconscious, no ..."
call_648.mp3,/kaggle/working/call_648.wav," Charles County 911. Hello. Hello. My name is Samantha. Your name is Samantha? Mm-hmm. And your number four. And your four? Mm-hmm. Is your mommy or daddy home? Mommy's sick. Is your mommy sick? Does she need an ambulance? Mommy, do you need an ambulance? Mommy said to help her sugar. To help her sugar? Mm-hmm. Do you know your address? I forgot. Is it ***? Mm-hmm. Is your mommy awake? Talking. She's not talking? Mm-mm. Okay, is your mommy breathing? Well, a little bit. A little bit? Uh-huh. Mommy has diabetes. She has diabetes? Mm-hmm. Okay. Well, I'm going to stay on the phone with you, okay? Someone else is sending the ambulance, okay? Okay. All right. So you just keep letting me know what your mommy's doing. Mommy said she wants a sweet soda. She wants a sweet soda? Yeah, I'm going to go get her. Well, she can't have anything by mouth, okay? You can't give her anything until the ambulance gets there. Okay. You might want to be careful because I left a big toy. You left the toys in the living room? Mm-hmm. Okay. I opened it. The doors open? Mm-hmm. Okay. Well, you just stay on the phone with me, okay? The ambulance is on its way, sweetie, okay? You're doing really good. Do you see the ambulance outside, Samantha? Yes. You do? I need to get dressed because the only thing I have is my t-shirt. Well, that's okay, sweetie. Samantha? Yeah.",Positive,"Charles County 911 (PERSON), Samantha (GPE), Samantha (PERSON), number four (CARDINAL), four (CARDINAL), Mommy (PERSON), Mommy (PERSON), Mommy (PERSON), Mommy (PERSON), Mommy (PERSON), Samantha (PERSON)","i, her sugar, my name, you, your mommy, my t-shirt, the toys, your mommy breathing, mm-mm, she, your address, its way, the doors, the ambulance, what, and your number, me, an ambulance, the living room, someone, her, mm-hmm, a sweet soda, that, samantha, a little bit, home, the phone,  charles county, it, daddy, mouth, a big toy, mommy, your name, anything, the only thing"," Charles County 911. Hello. Hello. My name is Samantha. Your name is Samantha? Mm-hmm. And your number four. And your four? Mm-hmm. Is your mommy or daddy home? Mommy's sick. Is your mommy sick? Does she need an ambulance? Mommy, do you need an ambulance? Mommy said to help her sugar. To help her su..."
